month,applied,matched,accepted,approved,realized,completed
2022-01-01,8,2,1,0,0,0
2022-02-01,11,1,0,0,0,0
2022-03-01,52,16,7,3,0,0
2022-04-01,89,13,4,2,0,0
2022-05-01,132,54,27,20,2,0
2022-06-01,78,38,22,22,4,0
2022-07-01,63,18,13,6,35,1
2022-08-01,39,7,6,6,6,5
2022-09-01,29,15,4,2,5,2
2022-10-01,49,21,9,2,4,2
2022-11-01,36,8,6,6,1,0
2022-12-01,44,5,3,2,0,0
2023-01-01,47,9,3,3,1,0
2023-02-01,44,7,2,0,3,0
2023-03-01,63,30,14,6,2,1
2023-04-01,65,27,15,7,2,0
2023-05-01,82,45,14,8,4,0
2023-06-01,105,34,13,13,4,3
2023-07-01,71,41,12,7,11,0
2023-08-01,69,16,7,4,13,2
2023-09-01,77,20,6,4,5,3
2023-10-01,27,10,5,3,6,0
2023-11-01,105,28,12,4,4,3
2023-12-01,46,32,17,10,4,0
2024-01-01,54,20,10,14,13,0
2024-02-01,39,20,5,8,11,1
2024-03-01,59,17,1,1,5,0
2024-04-01,62,29,4,4,0,2
2024-05-01,75,31,16,6,0,0
2024-06-01,41,13,5,3,3,0
2024-07-01,12,0,0,0,5,0
2024-08-01,6,0,0,0,0,1
2024-09-01,10,0,0,0,0,1
2024-10-01,7,1,0,0,4,0
2024-11-01,4,0,0,0,0,1
2024-12-01,8,0,0,1,0,0
2025-01-01,15,3,2,0,1,0
2025-02-01,14,7,5,3,0,0
2025-03-01,19,4,2,4,1,0
2025-04-01,34,17,3,2,1,0
2025-05-01,30,14,4,3,1,0
2025-06-01,26,9,5,3,2,0
2025-07-01,21,7,5,2,3,0
2025-08-01,29,5,3,3,4,2
2025-09-01,22,10,4,3,4,0
2025-10-01,25,13,6,4,6,1
2025-11-01,34,27,6,2,0,1
2025-12-01,64,27,21,14,0,0
